Id,SalePrice
1461,119433.68020802831
1462,157839.2911666909
1463,189808.7532159038
1464,194629.21288277922
1465,218999.86539198327
1466,170472.62509114848
1467,173709.88885185967
1468,153788.46305541333
1469,201602.6798265598
1470,125582.39029739462
1471,148764.7706892156
1472,98828.62498622072
1473,102347.24557506468
1474,149633.37316512282
1475,110442.35627014798
1476,372513.0749935702
1477,266003.3548878096
1478,314337.3574276729
1479,297854.8492218441
1480,468186.4649038866
1481,297985.6795812863
1482,208312.68882378287
1483,171345.3198877676
1484,159127.3143634412
1485,177178.7478221243
1486,187470.1301310291
1487,339730.05600583984
1488,234015.8377378821
1489,203775.2804329709
1490,247089.28748335002
1491,195630.82985874687
1492,100328.90738908097
1493,187963.29481901263
1494,313030.87640306365
1495,290060.6911518155
1496,238197.27810065704
1497,177251.63313024447
1498,178391.67447658262
1499,164180.7706293766
1500,153887.9715024465
1501,180667.22317132488
1502,125804.11027435597
1503,322090.98249711096
1504,247088.5615009912
1505,223751.832542959
1506,186826.13826975835
1507,259407.15936874793
1508,207535.65432158814
1509,152708.61672841368
1510,144178.8224034112
1511,161843.1595414833
1512,176839.11718974076
1513,154242.0374195846
1514,171001.73074520717
1515,200462.31782511208
1516,151718.5360821237
1517,169674.45842606368
1518,118738.94789984413
1519,213622.51801818423
1520,126086.32008607594
1521,135099.7493683791
1522,182305.05221918647
1523,123478.69144140673
1524,120755.83965406957
1525,118781.28424492266
1526,108805.97374379069
1527,107089.43303418258
1528,125921.38934271492
1529,164367.03747804934
1530,205814.42601064435
1531,139318.35355137038
1532,96226.12534000608
1533,159205.15129623562
1534,113536.2756594189
1535,148160.57767602592
1536,96983.47229075947
1537,102946.78434048351
1538,162247.02282851236
1539,218687.6727606206
1540,81583.06917197481
1541,145765.0542511306
1542,176636.92621131692
1543,187620.0982867572
1544,88627.3809460382
1545,117904.34201196581
1546,138765.82932715438
1547,143542.0745832372
1548,151115.57722711598
1549,115945.35859384162
1550,144341.26531484834
1551,100019.67833036878
1552,166689.4355339583
1553,156735.07768876298
1554,109706.51803605449
1555,164359.87119075152
1556,59284.66045218587
1557,143715.1482302036
1558,104321.93528161017
1559,104451.2832658721
1560,114851.84724737742
1561,124692.54853409149
1562,135375.94247543282
1563,121364.4037525643
1564,158883.49923935518
1565,156655.13153843454
1566,232124.29535034535
1567,86166.33180107354
1568,227399.07467672823
1569,153816.89915849047
1570,128531.80682037995
1571,91146.9600880442
1572,142110.43640050697
1573,266468.36514035583
1574,130238.57837756799
1575,225864.14553420647
1576,226973.08541995217
1577,180998.157789574
1578,148360.37280262524
1579,124839.68517415586
1580,192231.83609626204
1581,163154.19214697438
1582,139985.27289951418
1583,292734.9060068185
1584,219636.38263699602
1585,131415.51801096392
1586,88022.23864166907
1587,109538.054607144
1588,165673.62860569975
1589,107009.28895021438
1590,120356.27998084905
1591,98674.03194562715
1592,128054.88752564261
1593,127844.28752755072
1594,166384.07651721744
1595,139287.952094841
1596,229743.72977708455
1597,187993.37194563742
1598,210974.0236461599
1599,202761.80121241504
1600,182725.3372468928
1601,75378.75680244312
1602,131332.1563601363
1603,55775.29939165179
1604,278977.9072830042
1605,235084.5294737426
1606,148110.6751372673
1607,160094.61416060626
1608,201745.54090529945
1609,191443.85009964922
